Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
10/01/2017,Completed,10/02/2017,17-06575636,Graffiti Removal,Metal - Painted,Traffic Control Box,2302 W EASTWOOD AVE,60625,1160052.13070304,1930842.9702692,47,19,4,21,41.966021861174816,-87.68700683785714,"(41.966021861174816, -87.68700683785714)"
10/01/2017,Completed,10/02/2017,17-06576319,Graffiti Removal,Wood - Painted,Alley,10930 S AVENUE O,60617,1200885.71877729,1833089.4218286,10,4,52,,41.69637511163072,-87.54022667762138,"(41.69637511163072, -87.54022667762138)"
10/01/2017,Completed,10/02/2017,17-06576475,Graffiti Removal,Asphalt,Rear,2822 S HALSTED ST,60608,1171425.15037448,1886163.48998327,11,9,60,,41.84280327627001,-87.64654290667846,"(41.84280327627001, -87.64654290667846)"
10/01/2017,Completed,10/02/2017,17-06576543,Graffiti Removal,Glass,Front,2900 W CERMAK RD,60623,1157045.48382603,1889243.39223301,24,10,30,,41.85196250898544,-87.69915253075936,"(41.85196250898544, -87.69915253075936)"
10/01/2017,Completed,10/02/2017,17-06576914,Graffiti Removal,Metal - Painted,Front,5904 S KEELER AVE,60629,1149379.54388586,1865122.18709148,13,8,65,,41.785679492096854,-87.72799390603755,"(41.785679492096854, -87.72799390603755)"
10/01/2017,Completed,10/02/2017,17-06577904,Graffiti Removal,Brick - Unpainted,Garage,10854 S AVENUE G,60617,1203183.18621376,1833595.55720433,10,4,52,,41.69747392636016,-87.53180502137292,"(41.69747392636016, -87.53180502137292)"
10/01/2017,Completed,10/02/2017,17-06577961,Graffiti Removal,Wood - Unpainted,Garage,10850 S AVENUE H,60617,1202850.59269785,1833954.70239024,10,4,52,,41.697592448209406,-87.53301292727312,"(41.697592448209406, -87.53301292727312)"
10/01/2017,Completed,10/02/2017,17-06578283,Graffiti Removal,Metal - Painted,Traffic Control Box,4756 N CLARK ST,60640,1165368.22886864,1931672.62463194,47,19,3,31,41.96873480147724,-87.66762000570957,"(41.96873480147724, -87.66762000570957)"
10/01/2017,Completed,10/02/2017,17-06578284,Graffiti Removal,Metal - Painted,Traffic Control Box,4750 N CLARK ST,60640,1165429.26972922,1931297.39206969,47,19,3,31,41.96856516958562,-87.66758404286394,"(41.96856516958562, -87.66758404286394)"
10/01/2017,Completed,10/02/2017,17-06578368,Graffiti Removal,Metal - Painted,Alley,1758 W LAWRENCE AVE,60640,1163758.64529583,1931924.3796926,47,20,3,31,41.96894197365703,-87.67330914361023,"(41.96894197365703, -87.67330914361023)"
10/01/2017,Completed,10/02/2017,17-06578440,Graffiti Removal,Metal - Painted,Pole,1804 W LAWRENCE AVE,60640,1163337.78002815,1931913.98999388,47,20,4,31,41.96892356403173,-87.67482235937634,"(41.96892356403173, -87.67482235937634)"
10/01/2017,Completed,10/02/2017,17-06579377,Graffiti Removal,Vinyl Siding,Side,3606 E 98TH ST,60617,1201861.159799,1840739.23449175,10,4,52,,41.71783951033775,-87.53618261521679,"(41.71783951033775, -87.53618261521679)"
10/01/2017,Completed,10/02/2017,17-06579589,Graffiti Removal,Other/Unknown Surface,Garage,3318 W BARRY AVE,60618,1153639.95279273,1920424.00721249,35,14,21,,41.93759169163384,-87.71088668656243,"(41.93759169163384, -87.71088668656243)"
10/01/2017,Completed,10/02/2017,17-06580638,Graffiti Removal,Brick - Painted,Alley,2622 N KENTON AVE,60639,1145159.61899313,1917153.14002005,31,25,19,,41.92927145329945,-87.7421649297905,"(41.92927145329945, -87.7421649297905)"
10/01/2017,Completed,10/02/2017,17-06580817,Graffiti Removal,Brick - Unpainted,Front,3881 N MILWAUKEE AVE,60641,1144528.49195,1925449.973875,45,17,15,28,41.951577769216414,-87.744090948371,"(41.951577769216414, -87.744090948371)"
10/01/2017,Completed - Dup,10/02/2017,17-06560010,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,1747 N WHIPPLE ST,60647,1155692.16132845,1911450.04799676,26,14,23,,41.91333352484844,-87.7033258481555,"(41.91333352484844, -87.7033258481555)"
10/01/2017,Completed - Dup,10/02/2017,17-06565558,Graffiti Removal,Aluminum Siding,Garage,5737 N ROCKWELL ST,60659,1157964.77900681,1938006.73009106,40,20,2,,41.98607436628246,-87.69424725183106,"(41.98607436628246, -87.69424725183106)"
10/01/2017,Completed - Dup,10/02/2017,17-06571671,Graffiti Removal,Metal - Unpainted,Alley,2347 W HURON ST,60612,1160630.60459382,1904611.37671637,1,12,24,,41.893826561402506,-87.68627014465893,"(41.893826561402506, -87.68627014465893)"
10/01/2017,Completed - Dup,10/02/2017,17-06573952,Graffiti Removal,Aluminum Siding,Garage,5737 N ROCKWELL ST,60659,1157964.77900681,1938006.73009106,40,20,2,,41.98607436628246,-87.69424725183106,"(41.98607436628246, -87.69424725183106)"
10/01/2017,Completed - Dup,10/02/2017,17-06575253,Graffiti Removal,Metal - Painted,Alley,3411 W SUNNYSIDE AVE,60625,1152782.85819448,1929697.95691907,35,17,14,60,41.96284011348011,-87.71367985593257,"(41.96284011348011, -87.71367985593257)"
10/01/2017,Completed,10/02/2017,17-06558550,Graffiti Removal,Glass,Side,6253 S KILDARE AVE,60629,1148780.9259791,1862787.68418862,23,8,65,3,41.77883405170877,-87.72994509235619,"(41.77883405170877, -87.72994509235619)"
10/01/2017,Completed,10/02/2017,17-06558656,Graffiti Removal,Other/Unknown Surface,Sign,6345 S PULASKI RD,60629,1150796.35468465,1862115.67010193,13,8,65,3,41.77728109537654,-87.72258001795667,"(41.77728109537654, -87.72258001795667)"
10/01/2017,Completed,10/02/2017,17-06559842,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,1747 N WHIPPLE ST,60647,1155692.16132845,1911450.04799676,26,14,23,,41.91333352484844,-87.7033258481555,"(41.91333352484844, -87.7033258481555)"
10/01/2017,Completed,10/02/2017,17-06560610,Graffiti Removal,Other/Unknown Surface,Door,1608 N CLAREMONT AVE,60647,1160449.47430807,1910648.33771293,32,14,24,33,41.91066062349129,-87.68615718172158,"(41.91066062349129, -87.68615718172158)"
10/01/2017,Completed,10/02/2017,17-06560779,Graffiti Removal,Metal - Unpainted,Alley,1620 N CLAREMONT AVE,60647,1160446.67430807,1910747.63771293,32,14,24,33,41.91098159794898,-87.68616622879033,"(41.91098159794898, -87.68616622879033)"
10/01/2017,Completed,10/02/2017,17-06564099,Graffiti Removal,Aluminum Siding,Garage,3082 N HAUSSEN CT,60618,1150339.67783073,1920217.07729238,30,25,21,,41.93714859986554,-87.72289129508812,"(41.93714859986554, -87.72289129508812)"
10/01/2017,Completed,10/02/2017,17-06565124,Graffiti Removal,Glass,Front,2909 W CERMAK RD,60623,1157013.88382603,1889242.69223301,12,10,30,,41.851737731876526,-87.69972351067882,"(41.851737731876526, -87.69972351067882)"
10/01/2017,Completed,10/02/2017,17-06565153,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,337 W RANDOLPH ST,60606,1174031.16921865,1901258.60202073,42,1,32,,41.88435149295498,-87.63642680736281,"(41.88435149295498, -87.63642680736281)"
10/01/2017,Completed,10/02/2017,17-06565368,Graffiti Removal,Aluminum Siding,Garage,5737 N ROCKWELL ST,60659,1157964.77900681,1938006.73009106,40,20,2,,41.98607436628246,-87.69424725183106,"(41.98607436628246, -87.69424725183106)"
